[00:00:23] [Server thread/INFO]: Singularity7k issued server command: /locate
[00:02:50] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure #better_pyramid:ancient_city
[00:02:51] [Server thread/INFO]: Locating element #better_pyramid:ancient_city (minecraft:ancient_city) took 1232 ms
[00:02:57] [Server thread/INFO]: Singularity7k issued server command: /tp @s 2048 ~ -1728
[00:02:58] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_forest' in chunk [123, -117], discarding
[02:03:48] [Server thread/INFO]: Locating element qrafty:cherry_cabin took 100 ms
[02:03:52] [Server thread/INFO]: Singularity7k issued server command: /tp @s -352 ~ -1456
[02:04:52] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:05:28] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:cherry_gateway
[02:05:29] [Server thread/INFO]: Locating element qrafty:cherry_gateway took 574 ms
[02:05:45] [Server thread/INFO]: Singularity7k issued server command: /tp @s 4528 ~ 1968
[02:06:10] [Server thread/INFO]: Singularity7k issued server command: /execute in minecraft:overworld run tp Singularity7k 1549.5 67 -840.5
[02:06:26] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:cherry_geode
[02:06:26] [Server thread/INFO]: Locating element qrafty:cherry_geode took 205 ms
[02:06:28] [Server thread/INFO]: Singularity7k issued server command: /tp @s -1440 ~ -2112
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -131], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -130], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -131], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -129], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -131], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -130], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -129], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -131], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -130], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -128], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -128], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -130], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -131], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -129], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -127], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -131], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -128], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -126], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -130], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -129], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -127], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -130], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -127], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -129], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -128], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -126], discarding
[02:06:28] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -125], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -124], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -129], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -127], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -128], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -126], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -125], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -124], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -128], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -126], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -127], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -125], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -124], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -127], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -126], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -125], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -124], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -126], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -125], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -124], discarding
[02:06:29] [Paper Common Worker #0/ERROR]: Unknown structure start: towns_and_towers:village_snowy_taiga
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -125], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -124], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -123], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -123], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -123], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -123], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -123], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -123], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -131], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -130], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -129], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -128], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -127], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -126], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -125], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -124], discarding
[02:06:29] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -123], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -122], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -122], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -122], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -122], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -122], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -122], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -122], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -131], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -130], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -129], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -128], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -127], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -126], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -125], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -124], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -123], discarding
[02:06:30] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -122], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-87, -121], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-86, -121], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-85, -121], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-84, -121], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -121], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -121], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -121], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-80, -121], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -131], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -130], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -129], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -128], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -127], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -126], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -125], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -124], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -123], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -122], discarding
[02:06:31] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-79, -121], discarding
[02:06:33] [Paper Common Worker #0/WARN]: Empty or non-existent pool: vsrevamped:village/cherry/streets
[02:06:33] [Paper Common Worker #0/WARN]: Empty or non-existent pool: vsrevamped:village/cherry/streets
[02:06:34] [Paper Common Worker #0/WARN]: Empty or non-existent pool: vsrevamped:village/cherry/streets
[02:06:34] [Paper Common Worker #0/WARN]: Empty or non-existent pool: vsrevamped:village/cherry/streets
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-83, -120], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-82, -120], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-81, -120], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -131], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -130], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -129], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -128], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -127], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -126], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -125], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -124], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -123], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -122], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -121], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -131], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -130], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -129], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -128], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -127], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -126], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -125], discarding
[02:06:35] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -124], discarding
[02:06:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -123], discarding
[02:06:39] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -122], discarding
[02:06:40] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -121], discarding
[02:07:16] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=537, y=-58, z=377}
[02:07:16] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-62, y=-58, z=46}
[02:07:17] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-50, y=-56, z=47}
[02:07:17] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-54, y=-58, z=46}
[02:07:17] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-48, y=-56, z=57}
[02:07:17] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-48, y=-56, z=49}
[02:07:18] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:cherry_pond
[02:07:18] [Server thread/INFO]: Locating element qrafty:cherry_pond took 0 ms
[02:07:20] [Server thread/INFO]: Singularity7k issued server command: /tp @s -1552 ~ -2176
[02:07:22] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=587, y=-59, z=376}
[02:07:24] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-50, y=-56, z=67}
[02:07:24] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-48, y=-56, z=65}
[02:07:26] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=511, y=-59, z=372}
[02:07:57] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:cherry_teahouse
[02:07:57] [Server thread/INFO]: Locating element qrafty:cherry_teahouse took 33 ms
[02:07:59] [Server thread/INFO]: Singularity7k issued server command: /tp @s -1424 ~ -1856
[02:08:01] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-277, y=58, z=-61}
[02:08:01] [Paper Common Worker #0/ERROR]: Block-attached entity at invalid position: BlockPos{x=-281, y=58, z=-61}
[02:08:23] [Server thread/INFO]: Singularity7k issued server command: /tp @s -1552 ~ -2176
[02:08:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-122, -123], discarding
[02:08:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-122, -122], discarding
[02:08:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-122, -121], discarding
[02:08:36] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-122, -120], discarding
[02:08:45] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-123, -123], discarding
[02:08:45] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-123, -122], discarding
[02:08:45] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-123, -121], discarding
[02:08:45] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-123, -120], discarding
[02:08:46] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-124, -123], discarding
[02:08:46] [Paper Common Worker #0/ERROR]: Unknown structure start: towns_and_towers:village_grove
[02:08:46] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-124, -122], discarding
[02:08:48] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-124, -121], discarding
[02:08:48] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-124, -120], discarding
[02:08:50] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-125, -123], discarding
[02:08:50] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-125, -122], discarding
[02:08:50] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-125, -121], discarding
[02:08:51] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-125, -120], discarding
[02:09:05] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[02:09:26] [Server thread/INFO]: Villager Villager['Villager'/48626, uuid='5e97f13b-8e4b-4a32-905e-4ac7e6fb74fc', l='ServerLevel[world]', x=-1621.48, y=95.00, z=-2067.49, cpos=[-102, -130], tl=1707, v=true] died, message: 'Villager was shot by Pillager'
[02:09:28] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[02:09:29] [Server thread/INFO]: [Singularity7k: Set own game mode to Creative Mode]
[02:09:32] [Server thread/INFO]: [Singularity7k: Set own game mode to Spectator Mode]
[02:09:36] [Server thread/INFO]: Singularity7k issued server command: /tp @s -1424 ~ -1856
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -121], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -122], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -121], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -123], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -122], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -124], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -123], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -125], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -124], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -126], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -125], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -127], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -126], discarding
[02:09:37] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -127], discarding
[02:09:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -128], discarding
[02:09:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -128], discarding
[02:09:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-78, -129], discarding
[02:09:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -129], discarding
[02:09:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -130], discarding
[02:09:38] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_snowy_taiga' in chunk [-77, -131], discarding
[02:09:51] [Server thread/INFO]: Singularity7k issued server command: /minecraft:locate structure qrafty:cherry_treehouse
[02:09:51] [Server thread/INFO]: Locating element qrafty:cherry_treehouse took 0 ms
[02:09:54] [Server thread/INFO]: Villager Villager['Villager'/49020, uuid='4485924e-ec78-821f-11ca-52c58a4df1fa', l='ServerLevel[world]', x=-1286.50, y=52.00, z=-1867.50, cpos=[-81, -117], tl=191, v=true] died, message: 'Villager suffocated in a wall'
[02:09:54] [Server thread/INFO]: Singularity7k issued server command: /tp @s -1584 ~ -1904
[02:10:00] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-122, -120], discarding
[02:10:00] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-122, -121], discarding
[02:10:00] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-122, -122], discarding
[02:10:00] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-122, -123], discarding
[02:10:03] [Paper Common Worker #0/WARN]: Found reference to unknown structure 'towns_and_towers:village_grove' in chunk [-123, -120], discarding
